#F f0_CromerMann.dat  
#UT Parametrization of f0 (the non-dispersive part of the atomic scattering factor) vs sin(theta/lambda).
#UIDL xf0
#U3W Sheet_f0
#C This file has been created using f0_CromerMann.tcl on 
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/expg/subgroups/theory/DABAX/dabax.html
#UD  Parametrization of f0 (the non-dispersive part of the atomic scattering factor) vs sin(theta/lambda).
#UD 
#UD  fo, the non-dispersive part of the atomic scattering factor, is a
#UD  function of the selected element and of sin(theta)/lambda, where
#UD  lambda is the photon wavelengh and theta is incident angle.
#UD  This function can be approximated by a function:
#UD 
#UD    f0[k] = c + [SUM a_i*EXP(-b_i*(k^2)) ]
#UD                i=1,4
#UD 
#UD  where k = sin(theta) / lambda and c, a_i and b_i
#UD  are the so called Cromer-Mann coefficients (see International
#UD  Tables vol. 4 or vol C; in vol. C refer to pg 500-502) and 
#UD  tabulated in this file (in columns) :  a1 a2 a3 a4 c b1 b2 b3 b4		
#UD  Note, this is only good out to sin(theta)/lambda < 2.0 [Angstrom^-1].
#UD  (For a valid parametrization when sin(theta)/lambda > 2.0 see the DABAX
#UD  file f0_WaasKirf.dat). 
#UD  After that, there is another functional fit which can be found on page
#UD  487 (eq 6.1.1.16) in vol C.
#UD  The coeffients for the k <  2.0 case are stored in the file
#UD  f0_CromerMann.txt.
#UD 
#UD  The f0_CromerMann table has been created by using a program of John 
#UD  Quintana (jpq@radish.dnd.nwu.edu) which reads in a block of the program
#UD  Lazy-pulverix.
#UD  The International Tables has 212 atoms in its list.  Lazy-pulverix
#UD  has 214 including a dummy at the end (i.e. 214) and O2- which isn't
#UD  included in the International Tables. (no. 213).
#UD  Lazy-Pulverix is  a programme to calculate theoretical x-ray and
#UD  neutrondiffraction powder patterns from Klaus Yvon, Wolfgang Jeitschko
#UD  and  Erwin Parthe from the
#UD
#UD         LABORATOIRE DE CRISTALLOGRAPHIE AUX RAYONS-X
#UD         UNIVERSITE DE GENEVE
#UD         24 QUAI ERNEST ANSERMET
#UD         CH 1211 GENEVA 4  SWITZERLAND
#UD         TELEPHONE    (022) 21 93 55 
#UD
#UD Modifications:
#UD 98/10/09 Bug fixed: the symbols SS were PP exchanged. 
#UD          Pointed out by Daniel Luebbert.
#UD 
#UD      
#S 1 H   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
0.4930020   0.3229120   0.1401910   4.0810000E-02   3.0380001E-03  10.51090   26.12570   3.142360  57.79970
11.22960   7.388300   4.739300   0.7108000   0.9324000  4.123100   0.2726000   10.24430  25.64660
#S 27 Co3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
10.33800   7.881730   4.767950   0.7255910   0.2866670  3.909690   0.2386680   8.355830  18.34910
#S 28 Ni  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
12.83760   7.292000   4.443800   2.380000   1.034100  3.878500   0.2565000   12.17630  66.34210
#S 28 Ni2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.41660   7.400500   5.344200   0.9773000   0.8614000  3.676600   0.2449000   8.873000  22.16260
#S 28 Ni3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
10.78060   7.758680   5.227460   0.8471140   0.3860440  3.547700   0.2231400   7.644680  16.96730
#S 29 Cu  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
13.33800   7.167600   5.615800   1.673500   1.191000  3.582800   0.2470000   11.39660  64.81260
#S 29 Cu1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.94750   7.357300   6.245500   1.557800   0.8900000  3.366900   0.2274000   8.662500  25.84870
#S 29 Cu2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.81680   7.111810   5.781350   1.145230   1.144310  3.374840   0.2440780   7.987600  19.89700
#S 30 Zn  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
14.07430   7.031800   5.165200   2.410000   1.304100  3.265500   0.2333000   10.31630  58.70970
#S 30 Zn2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
11.97190   7.386200   6.466800   1.394000   0.7807000  2.994600   0.2031000   7.082600  18.09950
#S 31 Ga  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
15.23540   6.700600   4.359100   2.962300   1.718900  3.066900   0.2412000   10.78050  61.41350
#S 31 Ga3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
12.69200   6.698830   6.066920   1.006600   1.535450  2.812620   0.2278900   6.364410  14.41220
#S 32 Ge  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
16.08160   6.374700   3.706800   3.683000   2.131300  2.850900   0.2516000   11.44680  54.76250
#S 32 Ge4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
12.91720   6.700030   6.067910   0.8590410   1.455720  2.537180   0.2058550   5.479130  11.60300
#S 33 As  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
16.67230   6.070100   3.431300   4.277900   2.531000  2.634500   0.2647000   12.94790  47.79720
#S 34 Se  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.00060   5.819600   3.973100   4.354300   2.840900  2.409800   0.2726000   15.23720  43.81630
#S 35 Br  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.17890   5.235800   5.637700   3.985100   2.955700  2.172300   16.57960   0.2609000  41.43280
#S 35 Br1-
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.17180   6.333800   5.575400   3.727200   3.177600  2.205900   19.33450   0.2871000  58.15350
#S 36 Kr  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.35550   6.728600   5.549300   3.537500   2.825000  1.938400   16.56230   0.2261000  39.39720
#S 37 Rb  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.17840   9.643500   5.139900   1.529200   3.487300  1.788800   17.31510   0.2748000  164.9340
#S 37 Rb1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.58160   7.659800   5.898100   2.781700   2.078200  1.713900   14.79570   0.1603000  31.20870
#S 38 Sr  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.56630   9.818400   5.422000   2.669400   2.506400  1.556400   14.09880   0.1664000  132.3760
#S 38 Sr2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.08740   8.137300   2.565400   -34.19300   41.40250  1.490700   12.69630   24.56510  -1.3800000E-02
#S 39 Y   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.77600   10.29460   5.726290   3.265880   1.912130  1.402900   12.80060   0.1255990  104.3540
#S 39 Y3+ 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.92680   9.153100   1.767950   -33.10800   40.26020  1.354170   11.21450   22.65990  -1.3190000E-02
#S 40 Zr  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.87650   10.94800   5.417320   3.657210   2.069290  1.276180   11.91600   0.1176220  87.66270
#S 40 Zr4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.16680   10.05620   1.011180   -2.647900   9.414540  1.214800   10.14830   21.60540  -0.1027600
#S 41 Nb  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.61420   12.01440   4.041830   3.533460   3.755910  1.188650   11.76600   0.2047850  69.79570
#S 41 Nb3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.88120   18.06530   11.01770   1.947150   -12.91200  1.9175000E-02   1.133050   10.16210  28.33890
#S 41 Nb5+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.91630   13.34170   10.79900   0.3379050   -6.393400  1.124460   2.8781001E-02   9.282060  25.72280
#S 42 Mo  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
3.702500   17.23560   12.88760   3.742900   4.387500  0.2772000   1.095800   11.00400  61.65840
#S 42 Mo3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.16640   18.20170   11.74230   2.309510   -14.42100  1.4734000E-02   1.030310   9.536590  26.63070
#S 42 Mo5+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.01490   18.09920   11.46320   0.7406250   -14.31600  1.4345000E-02   1.022380   8.788090  23.34520
#S 42 Mo6+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
17.88710   11.17500   6.578910   0.0000000E+00   0.3449410  1.036490   8.480610   5.8881000E-02  0.0000000E+00
#S 43 Tc  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.13010   11.09480   4.649010   2.712630   5.404280  0.8641320   8.144870   21.57070  86.84720
#S 44 Ru  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.26740   12.91820   4.863370   1.567560   5.378740  0.8085200   8.434670   24.79970  94.29280
#S 44 Ru3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.56380   13.28850   9.326020   3.009640   -3.189200  0.8473290   8.371640   1.7662000E-02  22.88700
#S 44 Ru+4
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.50030   13.17870   4.713040   2.185350   1.423570  0.8445820   8.125340   3.6495000E-02  20.85040
#S 45 Rh  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.29570   14.35010   4.734250   1.289180   5.328000  0.7515360   8.217580   25.87490  98.60620
#S 45 Rh3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.87850   14.12590   3.325150   -6.198900   11.86780  0.7642520   7.844380   21.24870  -1.0360000E-02
#S 45 Rh4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.85450   13.98060   2.534640   -5.652600   11.28350  0.7608250   7.624360   19.33170  -1.0200000E-02
#S 46 Pd  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.33190   15.50170   5.295370   0.6058440   5.265930  0.6986550   7.989290   25.20520  76.89860
#S 46 Pd2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.17010   15.20960   4.322340   0.0000000E+00   5.291600  0.6962190   7.555730   22.50570  0.0000000E+00
#S 46 Pd4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.24930   14.79000   2.892890   -7.949200   13.01740  0.6838390   7.148330   17.91440  5.1270002E-03
#S 47 Ag  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.28080   16.68850   4.804500   1.046300   5.179000  0.6446000   7.472600   24.66050  99.81560
#S 47 Ag1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.18120   15.97190   5.274750   0.3575340   5.215720  0.6461790   7.191230   21.73260  66.11470
#S 47 Ag2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.16430   16.24560   4.370900   0.0000000E+00   5.214040  0.6456430   7.185440   21.40720  0.0000000E+00
#S 48 Cd  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.22140   17.64440   4.461000   1.602900   5.069400  0.5946000   6.908900   24.70080  87.48250
#S 48 Cd2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.15140   17.25350   4.471280   0.0000000E+00   5.119370  0.5979220   6.806390   20.25210  0.0000000E+00
#S 49 In  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.16240   18.55960   4.294800   2.039600   4.939100  0.5476000   6.377600   25.84990  92.80290
#S 49 In3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.10450   18.11080   3.788970   0.0000000E+00   4.996350  0.5515220   6.324700   17.35950  0.0000000E+00
#S 50 Sn  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.18890   19.10050   4.458500   2.466300   4.782100  5.830300   0.5031000   26.89090  83.95710
#S 50 Sn2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.10940   19.05480   4.564800   0.4870000   4.786100  0.5036000   5.837800   23.37520  62.20610
#S 50 Sn4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.93330   19.71310   3.418200   1.9300001E-02   3.918200  5.764000   0.4655000   14.00490  -0.7583000
#S 51 Sb  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.64180   19.04550   5.037100   2.682700   4.590900  5.303400   0.4607000   27.90740  75.28250
#S 51 Sb3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
18.97550   18.93300   5.107890   0.2887530   4.696260  0.4671960   5.221260   19.59020  55.51130
#S 51 Sb5+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.86850   19.03020   2.412530   0.0000000E+00   4.692630  5.448530   0.4679730   14.12590  0.0000000E+00
#S 52 Te  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
19.96440   19.01380   6.144870   2.523900   4.352000  4.817420   0.4208850   28.52840  70.84030
#S 53 I   
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.14720   18.99490   7.513800   2.273500   4.071200  4.347000   0.3814000   27.76600  66.87760
#S 53 I1- 
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.23320   18.99700   7.806900   2.886800   4.071400  4.357900   0.3815000   29.52590  84.93040
#S 54 Xe  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.29330   19.02980   8.976700   1.990000   3.711800  3.928200   0.3440000   26.46590  64.26580
#S 55 Cs  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.38920   19.10620   10.66200   1.495300   3.335200  3.569000   0.3107000   24.38790  213.9040
#S 55 Cs1+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.35240   19.12780   10.28210   0.9615000   3.279100  3.552000   0.3086000   23.71280  59.45650
#S 56 Ba  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.33610   19.29700   10.88800   2.695900   2.773100  3.216000   0.2756000   20.20730  167.2020
#S 56 Ba2+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.18070   19.11360   10.90540   0.7736340   3.029020  3.213670   0.2833100   20.05580  51.74600
#S 57 La  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.57800   19.59900   11.37270   3.287190   2.146780  2.948170   0.2444750   18.77260  133.1240
#S 57 La3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.24890   19.37630   11.63230   0.3360480   2.408600  2.920700   0.2506980   17.82110  54.94530
#S 58 Ce  
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
21.16710   19.76950   11.85130   3.330490   1.862640  2.812190   0.2268360   17.60830  127.1130
#S 58 Ce3+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
20.80360   19.55900   11.93690   0.6123760   2.090130  2.776910   0.2315400   16.54080  43.16920
#S 58 Ce4+
#N 9
#L a1  a2  a3  a4  c  b1  b2  b3  b4
